Company Name,URL,Orbit,Distribution Channel,Tags,Image
thewinddrinker,http://www.thewinddrinker.com/,Core,"B2G, B2C",,
Traffi,http://www.trafi.com/,Assurance,B2C,"Transport, Public Transit",
Transitmix,http://www.transitmix.net/,Assurance,B2G,"Transport, Public Transit",
Trovedata,http://www.trovedata.com/,Assurance,B2G,,
Uber,http://uber.com,Safety,"B2B, B2C","Transport, Ride Share",uber.png
UniKey Technologies,http://unikey.com,Safety,"B2B, B2C","Safety, Secrurity, Access Control",
Urbanflow Engine ,http://urbanflowengine.com,Assurance,B2G,Urban Planning,
Vacant Voices,Http://VacantVoices.com,Assurance,B2G,"Crowdsourcing, Blight",
ValetAnywhere,http://valetanywhere.com,Safety,B2C,"Transport, Parking",
Verengo Solar,http://verengosolar.com,Assurance,"B2C, B2B",Solar,
VIA Analytics,Http://v-a.io,Safety,B2G,"Transport, Public Transit",
Volo,http://volo.io,Safety,B2C,Parking,
Volta,http://www.voltacharging.com/#1,Assurance,B2B,"Transport, Energy",
Water Status,http://waterstatus.splashthat.com/,Core,B2C,Water,
Watershed Materials,Http://watershedmaterials.com,Assurance,B2B,"Sustainability, ",
Waze Mobile Ltd.,http://www.waze.com,Safety,B2C,"Transport, Traffic, Crowdsourcing",waze.png
WeatherCloud Inc.,weathercloud.co,Safety,"B2B, B2G","Crowdsourcing, Weather",
Weathermob Inc.,http://weathermob.me,Safety,"B2B, B2G","Crowdsourcing, Weather",
What Up Bridge,Http://whatupbridge.com,Safety,"B2B, B2G","Traffic, Infrastructure",
ZBoard,http://zboardshop.com,Safety,B2C,"Transport, Personal Mobility",
Zipurb,http://zipurb.com,Safety,B2C,"Transport, Personal Mobility",
Zuli,https://zuli.io/,Assurance,B2C,Smart Home,
