Company Name,Investors,Orbit,Industry,Business Model,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
The Winddrinker,,Assurance,cleantech,,3,,3,-130,https://mattermark.com/app/data/139859/the-winddrinker,http://thewinddrinker.com,The Winddrinker make clean drinking water affordable for the poor.,No,,,,water purification,,,,,,,,6,6,0,6,0,,,,,,,146,,,,,0,0,,0,0,,,,,,,,,,,,,,,,,,,No Known Funding,,,,amsterdam,,,,,,No,,,
Therma Flite,XPV Capital,Assurance,agriculture|energy,B2B,119,37,35,-166,https://mattermark.com/app/data/216680/therma-flite,http://therma-flite.com,"Therma-Flite is a reliable manufacturer of thermal desorption and biosolids drying equipment. The specialized areas cover sludge drying, waste management, cooling/heating applications etc. Call today for expertise consultation & professional solutions you need.",No,,,,,71,70,1,1,68,3,4,38,36,6,43,-12,,,,,,,42,,,,,0,0,,0,0,,,,,,,,,,,,,1373,1371,0,1366,1,,Unknown,7500000,11/17/13,7500000,bay area,benicia,bay area,CA,usa,NA,No,23,480,15625
thewinddrinker,,Core,Water|Renewable Energy,B2G|B2C,,,,,,http://www.thewinddrinker.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TRAFI,Octopus Investments|European Bank for Reconstruction and Development (EBRD)|BaltCap|Practica Capital,Assurance,mobile|transportation|travel,B2C,354,9,261,-479,https://mattermark.com/app/data/195899/,http://trafi.com,Real time journey planner.,No,,,,android|public transit|social travel,26,25,1,4,15,11,73,7490,6470,16,8902,-16,606,606,0,186,226,0,707,,,,,1,0,,3,9,-67,8556,8561,0,8542,0,12,24,-50,77,25,208,76,75,1,73,4,,A,6500000,05/19/15,6500000,london,london,london,,gbr,EU,Yes,5,23,282608.7
Transcend,Y Combinator|Y Combinator|YC Summer 2015,Assurance,agriculture|cleantech|hardware,B2B,165,0,165,-82,https://mattermark.com/app/data/11015894/,http://transcendlighting.com,"Transcend has developed a patent-pending lighting system that specifically stimulates the photosynthetic process, while also cutting farms' energy use by as much as 70 percent.",No,,,,horticulture|lighting|sustainability,2,2,0,0,,,,914,913,0,93,883,,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,01/01/12,Pre Series A,120000,08/18/15,120000,bay area,san francisco,bay area,CA,usa,NA,No,2,0,0
Transit Screen,Energy Excelerator,Safety,advertising|internet of things|real estate|transportation,B2B|B2C,185,13,102,-223,https://mattermark.com/app/data/148629/transit-screen,http://transitscreen.com,"Sustainable Urban Mobility. Smart Signage. Transportation Data. Working w/ Smart Cities, Employers, Universities & Building Owners.",No,,,,internet of things|mobile apps|public transit|wireless,21,20,1,5,11,10,91,516,514,0,720,-28,,,,,,,1926,,,,,27,30,-10,122,142,-14,165,163,1,162,2,1,1,0,1,1,0,101,98,3,89,13,01/01/12,Pre Series A,675000,03/12/15,600000,washington d.c.,arlington,washington d.c.,VA,usa,NA,No,7,66,9090.91
Trilliant,MissionPoint Capital Partners|Zouk Capital|ABB Technology Ventures|Selby Ventures|Investor Growth Capital|Zouk Capital|MissionPoint Capital Partners|GE Capital|VantagePoint Capital Partners|General Electric|GE Capital|Investor Growth Capital|VantagePoint Capital Partners|UMC Capital|General Electric,Assurance,energy|enterprise software|hardware|internet of things,B2B,146,61,31,-111,https://mattermark.com/app/data/6564/trilliant,http://trilliantinc.com,"Trilliant helps deploy a broad set of smart grid initiatives such as advanced metering, distribution automation, demand response and distributed energy resources.",No,,,,smart grid,227,208,19,9,201,26,13,881,1251,-30,2529,-65,,,,,,,2611,,,,,2,0,,4,8,-50,,,,,,,,,,,,2369,2363,0,2321,2,01/01/85,B,146000000,12/21/10,0,bay area,redwood city,bay area,CA,usa,NA,No,58,683,0
Uber,Weathergage Capital|Industry Ventures|Google|Wellington Management|Kleiner Perkins Caufield & Byers|Google Ventures|BlackRock|Fidelity Investments|Summit Partners|Menlo Ventures|Garrett Camp|Travis Kalanick|Goldman Sachs|Baidu|New Enterprise Associates|Lone Pine Capital|Valiant Capital Partners|Qatar Investment Authority|Structure Capital|Techstars|Josh Spear|First Round Capital|Lowercase Capital|Techstars Ventures|Mitchell Kapor|Founder Collective|Cyan Banister|Babak Nivi|Alfred Lin|Scott Banister|Jason Calacanis|Mike Walsh|Naval Ravikant|Shawn Fanning|Oren Michels|Microsoft Ventures|Times Internet Ltd.|Bennett Coleman and Co|Tusk Ventures|Techstars|Tata Group|Techstars Ventures|Baidu|Google Ventures|TPG Growth|Menlo Ventures|Jeff Bezos|Goldman Sachs|Benchmark|Alfred Lin|First Round Capital|Innovation Endeavors|Lowercase Capital|Scott Banister,Safety,hospitality|mobile|passenger transport,B2C|marketplace|B2B,17415,1447,1849,-1033,https://mattermark.com/app/data/41063/uber,http://uber.com,Uber is a mobile app connecting passengers with drivers for hire.,No,,,,android|mobile|p2p,10447,9965,482,5,5460,4987,91,6638831,6698919,-1,6891686,-4,1487222,1462002,2,1378213,8,0,385922,,,,,17252,14309,21,66161,106659,-38,2813280,2759320,2,2660437,6,11260,9057,24,7079,6933,2,160383,156738,2,145235,10,03/01/09,Late,8207450000,09/07/15,1200000000,bay area,san francisco,bay area,CA,usa,NA,Yes,2,1447,829302
UniKey Technologies,Shark Tank|Asset Management Ventures (AMV)|AXCIT Capital Partners|Broadway Angels|CBRE Group|ff Venture Capital|Samsung|Haas Portman|Oriza Holdings|ff Venture Capital|Shark Tank Season 3,Safety,hardware|internet of things,B2C,166,13,69,-378,https://mattermark.com/app/data/91360/unikey-technologies,http://unikey.com,Kevo smart lock powered by UniKey,No,,,,consumer electronics,40,39,1,3,27,13,48,4199,3965,6,3758,12,,,,,,,1974,,,,,43,146,-71,235,85,176,4469,4465,0,4390,2,51,55,-7,30,28,7,247,238,4,229,8,01/01/10,A,12600000,04/15/15,10000000,winter park,winter park,,FL,usa,NA,No,6,72,138888.89
Urban Engines,,Safety,analytics|mobile|transportation,B2G,154,,154,0,https://mattermark.com/app/data/274688/,http://urbanengines.com,Urban Engines reduces congestion by combining insights and incentives to ease the time and stress of daily commutes.,No,,,,big data,,,,,,,,2800,3564,-21,3016,-7,,353,,448,,0,899,,,,,50,6,733,69,40,73,281,281,0,279,1,6,5,20,16,13,23,,,,,,,Pre Series A,0,,,bay area,los altos,bay area,CA,usa,NA,Yes,,,
Urbanflow Engine,,Assurance,Urban Planning,B2G,,,,,,http://urbanflowengine.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urjanet,Grotech Ventures|GRA Venture Fund|Imlay Investments|GRA Venture Fund|Imlay Investments|Osage University Partners|Correlation Ventures,Assurance,energy|enterprise software,B2B,210,60,97,-265,https://mattermark.com/app/data/70047/urjanet,http://urjanet.com,"Urjanet automates the collection and delivery of energy data. Better data gives you better insight, helping reduce energy spend and usage. #BigData",No,,,,,77,75,2,3,69,8,12,690,830,-17,1202,-43,,,,,,,430,,,,,1,0,,23,28,-18,5,5,0,5,0,1,,,1,,,438,435,1,426,3,01/01/10,B,8200000,12/14/12,2000000,atlanta,atlanta,atlanta,GA,usa,NA,No,34,944,2118.64
Urjas,Aniruddha Malpani,Assurance,agriculture|cleantech|energy,B2B,126,2,101,42,https://mattermark.com/app/data/10945882/,http://urjas.com,At Urjas we build next generation agro and plastic waste to clean energy technologies.Urjas multi-fuel gasifiers can work with a variety of agro-wastes to generate high quality producer gas which can replace fossil fuels used today for heating in industries.,No,,,,,4,3,1,33,,,,,,,,,,,,,,,,,,,,,,,,,,202,199,2,187,8,8,7,14,3,3,0,,,,,,01/01/12,Pre Series A,100000,03/28/15,100000,mumbai,mumbai,,,ind,AS,No,7,4,25000
Vacant Voices,,Assurance,Urban Planning,B2G,,,,,,Http://VacantVoices.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ValetAnywhere,AngelPad|Urban.Us|CyberAgent Ventures|AngelPad|Urban.Us|Tusk Ventures|AngelPad Spring 2014,Safety,consumer services|mobile|transportation,B2C,259,9,205,-330,https://mattermark.com/app/data/268213/,http://valetanywhere.com,On-Demand NYC Valet Parking via ValetAnywhere,No,,,,,18,16,2,13,9,9,100,1079,891,21,780,38,,,,,,,119,,,,,0,0,,0,1,-100,818,819,0,821,0,3,3,0,2,9,-78,56,53,6,49,14,01/01/14,Pre Series A,1400000,02/02/15,1400000,new york,new york,new york,NY,usa,NA,No,9,33,42424.24
Valor Water,Y Combinator|Tumml|YC Winter 2015,Assurance,analytics|cleantech|finance,B2B|Consulting,168,6,147,13,https://mattermark.com/app/data/269115/,http://valorwater.com,Valor Water Analytics combines world-class analytics and deep experience in the water sector to provide utilities with solutions-oriented analytics to inform financial and water resource decision-making.,No,,,,big data,8,6,2,33,4,4,100,153,104,47,109,40,,,,,,,212,,,,,0,0,,1,1,0,93,93,0,90,3,2,2,0,2,,,37,34,9,30,23,01/01/13,Pre Series A,120000,08/20/14,120000,bay area,san francisco,bay area,CA,usa,NA,No,14,25,4800
Verengo Solar,Angeleno Group,Assurance,cleantech|energy|enterprise software|marketing|solar power,B2B|B2C,-229,-64,66,-142,https://mattermark.com/app/data/55587/verengo-solar,http://verengosolar.com,Provides residential solar products and services to help homeowners conserve energy.,No,,,,sales|solar|sustainability,392,387,5,1,422,-30,-7,10192,8691,17,8858,15,,,,,,,2747,,,,,3,2,50,15,17,-12,,,,,,,,,,,,3773,3758,0,3680,3,01/01/08,Late,27099985,01/30/15,4900000,los angeles,torrance,los angeles,CA,usa,NA,No,9,448,10937.5
VIA Analytics,,Safety,Mobility|Public Transit,B2G,,,,,,Http://v-a.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Via Transportation,Pitango Venture Capital|Hearst Ventures|Ervington Investments|83North|Expansion Venture Capital,Safety,social networking|transportation,B2C,546,25,375,78,https://mattermark.com/app/data/101586/via-transportation,http://ridewithvia.com,Luxury Ridesharing. Shared rides in a premium SUV or Mercedes van. As fast as a taxi at a fraction of the price.,No,,,,,41,37,4,11,18,23,128,10129,11110,-9,11012,-8,4083,4016,2,3826,7,0,1058,,,,,22,44,-50,113,68,66,2572,2528,2,2266,14,55,123,-55,233,81,188,109,104,5,90,21,01/01/12,B,37064136,04/02/15,27000000,new york,new york,new york,NY,usa,NA,Yes,7,92,293478.26
ViZn Energy,,Assurance,energy,B2B,139,11,61,-219,https://mattermark.com/app/data/190152/vizn-energy,http://viznenergy.com,Storing and Delivering Tomorrow's Energy,Yes,10000000,50000000,0,clean energy|sustainability,29,30,-1,-3,21,8,38,292,383,-24,234,25,,,,,,,145,,,,,0,0,,1,10,-90,,,,,,,,,,,,130,127,2,115,13,,B,24000000,02/10/15,17000000,columbia falls,columbia falls,,MT,usa,NA,No,9,60,283333.33
Volo,,Safety,Mobility|Parking,B2C,,,,,,http://volo.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Volta Industries,Three Bridges Ventures|Volta Ventures|Pierre Omidyar|EPIC Ventures,Assurance,advertising|automotive|cleantech,B2B|B2C,165,5,104,3,https://mattermark.com/app/data/162927/volta-industries,http://voltacharging.com,Volta partners with brands to build free electric car charging networks for communities.,No,,,,electric vehicles|location based services (lbs),28,27,1,4,18,10,56,728,665,9,558,30,,,,,,,650,,,,,3,4,-25,20,14,43,1890,1887,0,1878,1,5,5,0,4,11,-64,244,238,3,221,10,01/01/10,A,8320000,06/10/15,4500000,honolulu,honolulu,,HI,usa,NA,No,5,17,264705.88
Water Status,,Core,Water,B2C,,,,,,http://waterstatus.splashthat.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watershed Materials,,Assurance,Construction|Energy Efficiency,B2B,,,,,,Http://watershedmaterials.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WaterSmart Software,Apsara Capital|Draper Fisher Jurvetson (DFJ)|Physic Ventures|The Westly Group|Draper Fisher Jurvetson (DFJ)|Apsara Capital|Physic Ventures|The Westly Group|Draper Fisher Jurvetson (DFJ)|Sand Hill Angels |Physic Ventures|Sand Hill Angels |Draper Fisher Jurvetson (DFJ)|Physic Ventures,Assurance,analytics|cleantech,B2B,122,9,58,10,https://mattermark.com/app/data/64118/,http://watersmartsoftware.com,Customer engagement and water-use efficiency for water utilities,No,,,,sustainability,42,41,1,2,34,8,24,2,10,-80,98,-98,,,,,,,5279,,,,,163,92,77,409,340,20,331,331,0,325,2,6,6,0,9,9,0,450,437,3,417,8,01/01/09,B,13350000,04/07/15,7000000,bay area,san francisco,bay area,CA,usa,NA,No,7,39,179487.18
WatrHub,SURGE|SURGE,Assurance,analytics|cleantech,B2B,118,2,47,0,https://mattermark.com/app/data/123140/,http://watrhub.com,WatrHub Inc. is an award-winning data & analytics company that delivers actionable intelligence for the Water Industry to enable faster and,No,,,,big data,9,7,2,29,9,0,0,17,40,-58,35,-51,,,,,,,2257,,,,,4,1,300,6,0,,176,176,0,171,3,1,1,0,2,3,-33,87,87,0,81,7,01/01/11,Pre Series A,487000,10/05/15,487000,toronto,toronto,,ON,can,NA,No,1,0,0
Wattblock,Muru D Sydney Class 2,Assurance,cleantech|energy,B2B|B2C,149,3,94,0,https://mattermark.com/app/data/10272516/,http://wattblock.com.au,Wattblock is an energy efficiency startup that provides a cost-effective way to audit large commercial buildings.,No,,,,sustainability,8,7,1,14,3,5,167,114,38,200,14,714,,,,,,,464,,,,,,,,,,,55,55,0,55,0,4,4,0,3,5,-40,9,8,13,7,29,01/01/14,Pre Series A,500000,09/07/15,500000,sydney,sydney,,,aus,OC,No,2,3,166666.67
Waze,BlueRun Ventures|Vertex Venture Capital|Magma Venture Partners (Magma VC)|Vertex Venture Capital|Magma Venture Partners (Magma VC)|BlueRun Ventures|Horizons Ventures|Kleiner Perkins Caufield & Byers,Safety,social networking|transportation,B2C,503,63,392,122,https://mattermark.com/app/data/25001/waze,http://waze.com,"A free mobile navigation app for smartphones that allows drivers to use live maps, real-time traffic updates, and other road data",No,,,,android|maps,147,141,6,4,124,23,19,1180703,1171802,1,1158990,2,904228,891721,1,872903,4,0,184052,,,,,6554,6673,-2,34183,37121,-8,1495225,1404044,6,1369800,9,6541,7944,-18,6406,10298,-38,5361,5291,1,5073,6,01/01/08,Exited (acquired),67000000,10/18/11,30000000,tel aviv,tel aviv,,,isr,AS,Yes,48,670,44776.12
Weather Analytics,Maryland Venture Fund|In-Q-Tel|In-Q-Tel|Maryland Venture Fund,Assurance,advertising|analytics|cleantech,B2B,145,30,82,0,https://mattermark.com/app/data/161527/weather-analytics,http://weatheranalytics.com,Weather Analytics provides weather intelligence through a globally comprehensive historical weather database as well as current and forecast conditions.,No,,,,big data,47,46,1,2,44,3,7,833,800,4,719,16,,,,,,,502,,,,,3,2,50,20,24,-17,746,745,0,743,0,4,3,33,5,4,25,778,765,2,733,6,01/01/05,Pre Series A,2250000,11/11/13,500000,washington d.c.,alexandria,washington d.c.,VA,usa,NA,No,24,445,1123.6
WeatherCloud Inc.,,Safety,internet of things|transportation,B2B|B2G,11,,11,-159,https://mattermark.com/app/data/236162/weathercloud-inc,http://weathercloud.co,WeatherCloud Inc. is a Boulder-based start-up utilizing automobiles as weather sensors to produce granular weather forecasts.,No,,,,big data|internet of things|public safety,,,,,,,,2,19,-89,19,-89,,,,,,,75,,,,,0,1,-100,1,0,,83,84,-1,82,1,1,1,0,1,1,0,,,,,,,No Known Funding,,,,boulder,boulder,boulder,CO,usa,NA,No,,,
Weathermob,Mark Hastings|Drew Volpe|Lord Waheed Alli|Victoria Hackett|Drew Volpe|Tim Albright|Christopher Austin|Mark Hastings,Safety,mobile|resilience,B2B|B2G,28,2,24,-464,https://mattermark.com/app/data/126887/,http://weathermob.me,"Weathermob is an app that lets its users share, discover and discuss the weather with people from around the world.",No,,,,crowdsourcing|location based services (lbs)|social media,3,3,0,0,2,1,50,193,200,-4,208,-7,3343,,,,,0,1,,,,,0,0,,0,0,,4541,4542,0,4546,0,3,2,50,3,3,0,15,15,0,15,0,01/01/12,Exited (acquired),1010000,07/17/13,650000,boston,cambridge,boston,MA,usa,NA,Yes,27,29,22413.79
WegoWise,,Assurance,energy|market research,B2B|SaaS,125,18,91,0,https://mattermark.com/app/data/87411/wegowise,http://wegowise.com,"WegoWise is an online tool for tracking utility data, benchmarking energy and water use, prioritizing retrofits, and measurement and verification (M&amp;V).",No,,,,clean energy|collisionconf2015|it|sustainability,38,37,1,3,34,4,12,2862,2702,6,3926,-27,,,,,,,1579,,,,,14,10,40,58,64,-9,281,279,1,279,1,1,1,0,1,1,0,448,441,2,429,4,01/01/10,A,4900000,05/14/13,3000000,boston,boston,boston,MA,usa,NA,No,29,269,11152.42
Yeloha,Carmel Ventures,Assurance,cleantech|energy,B2C,431,3,406,57,https://mattermark.com/app/data/10948776/,http://yeloha.com,The Solar Sharing Network,No,,,,clean energy|solar,21,21,0,0,,,,12796,6296,103,1327,864,,,,,,,112,,,,,,,,,,,974,965,1,922,6,34,39,-13,61,66,-8,50,,,,,01/01/15,A,3500000,04/08/15,3500000,,,,,,,No,7,22,159090.91
ZBoard,500 Startups|Indiegogo|500 Startups|500 Startups Batch 7 (Fall 2013),Safety,hardware|mobility,B2C,225,2,215,-540,https://mattermark.com/app/data/88109/,http://zboardshop.com,Weight-Sensing Electric Skateboard,No,,,,consumer electronics|consumer goods|electric vehicles|sporing goods|sustainability,5,4,1,25,3,2,67,28588,28168,1,21992,30,,,,,,,3564,,,,,48,76,-37,558,627,-11,16233,16201,0,16134,1,234,238,-2,47,39,21,68,68,0,64,6,01/01/09,Pre Series A,109296,01/07/15,109296,los angeles,hermosa beach,los angeles,CA,usa,NA,No,10,5,21859.2
Zenatix,Rohit Bansal|Kunal Bahl|Rajan Anandan|Arjun Malhotra|Sunil Kalra|Rahul Khanna|Manoj Dawane|Zubin Irani,Assurance,analytics|energy|enterprise software,B2B,184,2,132,-439,https://mattermark.com/app/data/10895924/,http://zenatix.com,Helping companies understand their power consumption pattern and the way they interact with their buildings,No,,,,,13,12,1,8,7,6,86,7111,6159,15,4440,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,25,4,23,13,,Pre Series A,161000,07/01/15,161000,gugaon,gugaon,,,ind,AS,No,4,3,53666.67
zipurb,,Safety,transportation,B2B|B2C|Marketplace,22,,22,-71,https://mattermark.com/app/data/274950/,http://zipurb.com,Driving into the future of cities,No,,,,big data|logistics,4,4,0,0,5,-1,-20,16,31,-48,55,-71,,,,,,,8,,,,,0,0,,0,0,,,,,,,,,,,,,6,,,,,01/01/13,No Known Funding,,,,,,,,,,No,,,
ZoomCar India,Haroon Mokhtarzada|Mohandas Pai|Abhay Jain|Empire Angels|FundersClub|Basset Investment Group|Sequoia Capital|Triangle Growth Partners|Larry Summers|Empire Angels|Lady Barbara Judge|Sequoia Capital|Empire Angels|Basset Investment Group|Triangle Growth Partners|FundersClub|Empire Angels|FundersClub|Rajkumar Elango,Safety,automotive|hospitality|mobile|transportation,B2C,1865,98,725,-297,https://mattermark.com/app/data/117829/zoomcar-india,http://zoomcar.com,Rental service for self-driving cars in Bangalore.,No,,,,,255,235,20,9,103,152,148,1026118,1015462,1,990799,4,,,,,,,3145,,,,,8,10,-20,59,126,-53,113442,112863,1,110251,3,10805,9452,14,1332,4774,-72,2581,2509,3,2221,16,01/01/12,A,20600000,07/08/15,11000000,bangalore,bangalore,,,ind,AS,No,4,248,44354.84
Zuli,,Assurance,consumer electronics|hardware|internet of things|mobile,B2C,252,,252,-557,https://mattermark.com/app/data/221641/zuli,http://zuli.io,Control your lights and appliances from your smartphone using Zuli Smartplugs and smart home technology.,No,,,,consumer electronics|internet of things|sustainability,10,11,-1,-9,8,2,25,49881,44180,13,26954,85,,,,,,,1483,,,,,16,55,-71,93,32,191,1246,1242,0,1215,3,12,10,20,13,19,-32,208,205,1,197,6,01/01/12,Pre Series A,0,,,bay area,san francisco,bay area,CA,usa,NA,No,,,
