Company Name,Investors,Orbit,Industry,Business Model,Growth Score,Employees added since last funding,Mindshare Score,Momentum Score,Mattermark URL,Website,Description,Is Raising On AngelList,AngelList Raising Amount,AngelList Pre-Money Valuation,AngelList Raised Amount,Keywords,Employee Count,Employees Month Ago,Employees Added This Month,Employees MoM,Employees 6 Months Ago,Employees Added In 6 Months,Employees 6 Months Growth,Est. Monthly Uniques,Monthly Uniques Week Ago,Monthly Uniques WoW,Monthly Uniques Month Ago,Monthly Uniques MoM,Est. Monthly Mobile Downloads,Mobile Downloads Week Ago,Mobile Downloads WoW,Mobile Downloads Month Ago,Mobile Downloads MoM,Mobile Growth Score,Twitter Followers,Twitter Followers Week Ago,Twitter Followers WoW,Twitter Followers Month Ago,Twitter Followers MoM,Twitter Mentions Last Week,Twitter Mentions 2 Weeks Ago,Twitter Mentions WoW,Twitter Mentions Last Month,Twitter Mentions 2 Months Ago,Twitter Mentions MoM,Facebook Likes,Facebook Likes Week Ago,Facebook Likes Wow,Facebook Likes Month Ago,Facebook Likes MoM,Facebook Talking Last Week,Facebook Talking 2 Weeks Ago,Facebook Talking WoW,Facebook Talking Month Ago,Facebook Talking 2 Months Ago,Facebook Talking MoM,LinkedIn Follows,LinkedIn Follows Week Ago,LinkedIn Follows WoW,LinkedIn Follows Month Ago,LinkedIn Follows MoM,Est. Founding Date,Stage,Total Funding,Last Funding Date,Last Funding Amount,Location,City,Region,State,Country,Continent,Has Mobile App,Months since last funding,New person months since last funding,New funding employee growth
PublicStuff,Entrepreneurs Roundtable Accelerator|FirstMark Capital|First Round Capital|New York Angels|Primary Venture Partners,Safety,government|mobile,B2B|B2C|SaaS,60,14,33,2,https://mattermark.com/app/data/100328/,http://publicstuff.com,Get stuff fixed in your community with this easy to use mobile and web application. PublicStuff saves local governments time and money by helping them manage and resolve service requests and connect with residents quickly and efficiently.,No,,,,android,33,30,3,10,36,-3,-8,2921,3240,-10,3598,-19,,,,1904,,0,1998,,,,,21,15,40,52,97,-46,1060,1059,0,1056,0,1,1,0,1,2,-50,666,666,0,665,0,01/01/09,Exited (acquired),6552136,10/09/12,5000000,new york,new york,new york,NY,usa,NA,Yes,37,206,24271.84
"PublicStuff, Inc.",,"Safety, Assurance",Management,B2G,,,,,,http://www.publicstuff.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PWRstation Corp,,Assurance,cleantech|energy,B2B|B2C,25,,25,-12,https://mattermark.com/app/data/221471/pwrstation-corp,http://pwrstation.com,Plug and play solar panels,No,,,,solar,4,4,0,0,6,-2,-33,13,13,0,12,8,,,,,,,5144,,,,,0,1,-100,10,67,-85,,,,,,,,,,,,68,67,1,68,0,01/01/13,No Known Funding,,,,miami,miami,miami,FL,usa,NA,No,,,
Quanergy Systems,TEEC Angel Fund|Motus Ventures|Rising Tide Fund|Wardenclyffe Partners|Wicklow Capital|Wardenclyffe Partners|Motus Ventures|Newbury Ventures|Markis,Safety,drones|robotics|transportation,B2B|B2C,158,16,83,96,https://mattermark.com/app/data/182428/quanergy-systems,http://quanergy.com,Quanergy offers LiDAR sensors and software to capture and process real-time 3D mapping data.,No,,,,artificial intelligence|cloud computing|location based services (lbs),37,34,3,9,26,11,42,154,209,-26,447,-66,,,,,,,632,,,,,0,3,-100,3,0,,107,104,3,96,11,8,8,0,15,26,-42,639,622,3,567,13,01/01/12,A,60000000,12/19/14,30000000,bay area,sunnyvale,bay area,CA,usa,NA,No,10,70,428571.43
Rach.io,,Core,Water,B2C,,,,,,Http://rach.io,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachio,Foundry Group|Slow Ventures|Amazon|SK Ventures|FG Angels|Urban.Us|Galvanize Ventures|Jordan Mendell|Jeff Richards|Hany Nada,Assurance,cleantech|hardware|internet of things|mobile,B2B|B2C|Marketplace|SaaS,415,2,308,59,https://mattermark.com/app/data/145809/,http://rach.io,Rachio is a technology company offering a smart irrigation controller with cloud-based software and web-based dashboards.,No,,,,consumer electronics|home & garden|home improvement|internet of things|it,21,,,,,,,17508,17772,-1,26181,-33,,,,,,,1877,,,,,4,7,-43,19,67,-72,11558,11519,0,11345,2,86,81,6,397,339,17,,,,,,01/01/12,A,3200000,08/28/15,0,denver,denver,denver,CO,usa,NA,No,2,0,0
Radiator Labs,Dorm Room Fund|Urban.Us,Assurance,analytics|cleantech|energy|internet of things,B2B,75,8,60,3,https://mattermark.com/app/data/143185/radiator-labs,http://radiatorlabs.com,"The Cozy finally allows you to tame your radiator, smartphone app included. Radiator heat: Welcome to the connected home.",No,,,,clean energy|sustainability,13,10,3,30,8,5,63,43,30,43,47,-9,,,,,,,644,,,,,0,1,-100,3,44,-93,173,173,0,173,0,1,1,0,2,,,63,61,3,57,11,01/01/11,Pre Series A,220000,05/01/12,220000,new york,new york,new york,NY,usa,NA,No,42,68,3235.29
Rally Bus,YEI Innovation Fund|First Niagara Bank|Connecticut Innovations,Safety,transportation,B2C,592,10,529,-574,https://mattermark.com/app/data/10626401/,http://rallybus.net,Rally Bus provides round trip shuttle bus travel to events of all kinds. Crowd-powered travel for the smarter way to get there.,No,,,,android,21,19,2,11,14,7,50,38999,36056,8,29260,33,,,,,,,596,,,,,,,,,,,2391,2407,-1,2390,0,39,39,0,60,53,13,62,62,0,60,3,01/01/13,Pre Series A,1250000,01/26/15,1250000,,,,,,,No,9,48,26041.67
Reaction Housing,Riverwood Capital,Core,cleantech|hardware,B2B,82,19,25,10,https://mattermark.com/app/data/122746/,http://reactionhousing.com,"reaction housing system, exo, emergency housing, emergency shelters,disaster housing, temporary housing, rapid response housing",No,,,,architecture|design|product design|social good|sustainability,31,30,1,3,15,16,107,947,985,-4,516,84,,,,,,,1230,,,,,0,1,-100,17,22,-23,3405,3381,1,3368,1,14,12,17,24,28,-14,228,216,6,201,13,01/01/13,A,9860000,03/05/15,9800000,austin,austin,austin,TX,usa,NA,No,8,90,108888.89
Refresh Water,,Assurance,Water,B2B,,,,,,http://www.re-freshwater.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RelayRides,Expansion Venture Capital|Canaan Partners|August Capital|Google Ventures|Shasta Ventures|GM Ventures|Shasta Ventures|Lisa Gansky|Google Ventures|August Capital|Kevin Donahue|Webb Investment Network|Expansion Venture Capital|Kleiner Perkins Caufield & Byers|August Capital|Canaan Partners|Google Ventures|Shasta Ventures|Trinity Ventures|Canaan Partners|August Capital|Google Ventures|Shasta Ventures|Trinity Ventures|Webb Investment Network|MassChallenge 2010,Safety,enterprise software|hospitality|transportation|travel,B2C|B2B,504,0,374,43,https://mattermark.com/app/data/39456/,http://relayrides.com,"Rent cars from our nationwide car rental marketplace, or make money by renting out your car. From A3 to Z4, RelayRides features an unbeatable selection of vehicles at low prices. Join our community today.",No,,,,community|p2p,92,90,2,2,76,16,21,658413,659959,0,656169,0,5532,5584,-1,6589,-16,0,10335,,,,,29,73,-60,211,233,-9,19054,19071,0,18769,2,102,101,1,248,147,69,1103,1089,1,1042,6,01/01/09,B,100150000,11/03/15,47000000,bay area,san francisco,bay area,CA,usa,NA,Yes,0,,0
Remix,,Assurance,government|transportation,B2G,345,,345,142,https://mattermark.com/app/data/10999386/,http://getremix.com,The new standard in transit planning.,No,,,,public transit,,,,,,,,1508,1399,8,586,157,,,,,,,1129,,,,,,,,,,,,,,,,,,,,,,,,,,,,No Known Funding,,,,,,,,,,No,,,
Renewable Funding,New Cycle Capital|Draper Fisher Jurvetson (DFJ)|NGEN Partners|Claremont Creek Ventures,Assurance,cleantech|energy|finance,B2B,242,81,18,0,https://mattermark.com/app/data/26712/,http://renewfund.com,"Renewable Funding specializes in designing, administrating, and financing solutions for clean energy upgrade programs.",No,,,,,112,99,13,13,72,40,56,10,10,0,22,-55,,,,,,,,,,,,,,,,,,138,133,4,131,5,2,2,0,151,34,344,1076,1069,1,1048,3,01/01/08,B,32200000,04/24/14,20000000,bay area,oakland,bay area,CA,usa,NA,No,18,549,36429.87
